user_id,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,696,697,698,699,700,701,702,703,704,705,706,1119,1120,1121,1122,1123,1124,1125,1401,1402,1403,1404,1405,1406,1407,1704,1705,1706,1707
140, 63, 35, 67, 70, 73, 31, 75, 534, 446, 977, 83, 280, 575, 218, 808, 49, 255, 689, 1153, 114, 132, 34, 548, 314, 2155, 761, 216, 100, 393, 797, 133, 924, 311, 247, 53, 820, 402, 238, 344, 249, 340,, 84,, 70,, 23, 1692, 1108,, 104, 36,, 54, 1720, 29, 1213, 2226, 391, 548, 15, 16, 49, 34, 97, 15, 95, 24, 2224, 239, 329, 339,,, 27, 29, 26, 33
141, 60, 10, 57, 24, 109, 27, 86,, 56, 66, 76,,,, 44,,,,, 88, 832, 99,, 748,,,, 880,,,,,,,,,,,,,,,,,,, 182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144, 52, 11, 67, 106,, 62,,,,, 130,,,, 150,,,,, 1177,, 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145, 61, 37, 73, 74, 79, 103, 130,, 114,, 226,,,, 155, 278,,,, 476, 159, 86,,,,,, 194,,,,, 81,, 234,,,,,,,, 64,,,, 452,,,,, 206,, 443,, 74,,,,, 23, 95,, 253,, 23,,,,,,,,,,,,
146, 14,,,, 196,, 299, 1007,, 53,, 1136,,,,,,,,, 63,,,,,,,, 503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149, 64, 11, 34, 236,, 27,,,,, 80,,,,,,,,, 81,, 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150, 69, 14, 32,,, 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151, 454, 9, 132, 22, 285, 129, 127,, 389, 321, 64,,,, 303, 289,,,, 267,, 41,,,,,,,,,,, 219,, 94,,,, 889,,,, 48,, 221,, 36,,,,, 27,,,,,,,,,,,,,,,,,,,,,,,,,,
152, 38, 10, 28, 165,, 93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153, 33, 15, 36, 70, 90, 21, 93, 71, 82, 107, 101,,,, 93, 85,, 209,, 130,, 174, 92,,,, 224,,,,,, 284, 113, 178,,,, 55,,,, 157,, 135,, 56,,,, 269, 778,, 128,, 505, 82,, 145,,,,,,,,,,,,,,,,,,,
154, 88, 14, 81, 29,, 107,,,,,,,,,,,,,,,, 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155, 66, 14, 44, 68, 83, 45,,, 191, 661, 538,,,, 332,,,,, 83,, 37, 570,,,,,,,,,,,,,,,, 81,,,,,,,, 85,,,,, 42,, 143,,,,,,, 24, 40,, 53,, 78,, 50,,,,,,, 55, 66, 60, 244
158, 77, 12, 41, 22, 199, 118, 106,, 250,, 117,,,,,,,,, 136,, 98,,,,,,,,,,,,,,,,,,,,,,, 205,, 41,,,,, 59,,,,,,,,,,,,,,,,,,,,,,,,,,
